,First name,Last name,Research Area
106,Mark,Clayton,"('Sustainable development, ', 'Computers, ', 'Architecture, ', 'Aesthetics')"
107,Michael,Clough,"('Science--Study and teaching, ', 'Teaching, ', 'Education--Curricula, ', 'Human Resource Development and African Americans, ', 'Education, ', 'Teachers--Training of')"
108,Noah,Cohen,"('Veterinary immunology, ', 'Drug resistance in microorganisms, ', 'Microbial populations, ', 'Communicable diseases--Immunotherapy, ', 'Horses--Genetics, ', 'Veterinary epidemiology, ', 'Medical microbiology, ', 'Communicable diseases, ', 'molecular pathogenesis')"
109,Mallory,Compton,"('social welfare policy, ', 'Bureaucracy, ', 'Political science, ', 'Public administration')"
110,Cheryl,Craig,"('International education, ', 'Context effects (Psychology), ', 'Teaching, ', 'College teachers, ', 'Education--Curricula, ', 'Teachers, ', 'Teacher-student relationships, ', 'Human Resource Development and African Americans, ', 'Education, ', 'Teachers--Training of')"
111,Molly,Crews,"('Systematic reviews (Medical research), ', 'Library science, ', 'Veterinary medicine')"
112,Nathan,Crick,"('Transcendentalism, ', 'Critical pedagogy, ', 'Humanism, ', 'Rhetoric, ', 'Fascism, ', 'Greece, ', 'Pragmatism, ', 'Propaganda')"
113,Charles,Criscione,"('Evolution (Biology), ', 'Parasitology, ', 'Molecular epidemiology, ', 'Molecular ecology, ', 'Genomics, ', 'Wildlife conservation, ', 'Population genetics')"
114,Michael,Criscitiello,"('Genetics, ', 'Immunology')"
115,Garth,Crosby,"('Engineering--Education, ', 'Computer networks--Security measures, ', 'Cooperating objects (Computer systems), ', 'Internet of things (IoT), ', 'Internet of things')"
116,H Russell,Cross,"('United States. Food Safety and Inspection Service, ', 'Hazard Analysis and Critical Control Point (Food safety system), ', 'American Meat Science Association, ', 'Beef industry, ', 'Pork industry and trade, ', 'Meat--Quality')"
117,Jorge,Cruz-Reyes,"('RNA, ', 'Molecular genetics, ', 'Molecular biology')"
118,George,Cunningham,"('Stigma (Social psychology), ', 'Gender identity, ', 'Sexual orientation, ', 'Prejudices, ', 'Discrimination in employment')"
119,Kevin,Curley,"('Web-based instruction, ', 'Gamification, ', 'Educational technology')"
120,Dilma,Da Silva,"('Operating systems (Computers), ', 'high-end computing, ', 'Cloud computing')"
121,Laura,Dague,"('Medical care, ', 'Health insurance, ', 'Disability insurance, ', 'Medicaid, ', 'Mental health services')"
122,Susie,Dai,"('Chemistry, ', 'Environmental, ', 'Ecology, ', 'Environment')"
123,Stephen,Daniel,"('Berkeley, George, 1685-1753',)"
124,Swaroop,Darbha,"('Vehicles, Remotely piloted, ', 'Feedback control systems--Mathematical models, ', 'Motor vehicles--Dynamics, ', 'Combinatorial optimization')"
125,Prabir,Daripa,"('Numerical analysis, ', 'Computational fluid dynamics, ', 'Inverse problems (Differential equations)--Numerical solutions, ', 'Fluid dynamics--Mathematical models, ', 'Enhanced oil recovery, ', 'Applied mathematics')"
